Title,Bedrooms,Sqft,Price,Date,Link
"Jordan Ln, For Rent & Great Home Available",2,1188.0,810,2021-01-09 11:24,https://charlottesville.craigslist.org/apa/d/charlottesville-jordan-ln-for-rent/7245929354.html
1 BEDROOM/TWO BATH HOUSE FOR RENT,1,780.0,650,2021-01-04 03:34,https://charlottesville.craigslist.org/apa/d/charlottesville-bedroom-two-bath-house/7256598437.html
"Bye, Bye 2020! Let's Celebrate In Your New Apartment Home!",1,,1379,2021-01-04 12:06,https://charlottesville.craigslist.org/apa/d/charlottesville-bye-bye-2020-lets/7256743052.html
You'll Love Living Here... We'll Love Having YOU Here! Try Beacon ❤,1,,1419,2021-01-04 12:11,https://charlottesville.craigslist.org/apa/d/charlottesville-youll-love-living-here/7256759190.html
Location Is Our Best Accommodation| UVA Try Beacon!,2,,1639,2021-01-04 14:12,https://charlottesville.craigslist.org/apa/d/charlottesville-location-is-our-best/7256849018.html
A Fresh Start Is Near| Stop In Today,2,,1659,2021-01-04 14:59,https://charlottesville.craigslist.org/apa/d/charlottesville-fresh-start-is-near/7256862885.html
Beacon Bridging The Gap Between Luxury & Convenience| Call NOW,1,,1419,2021-01-05 12:23,https://charlottesville.craigslist.org/apa/d/charlottesville-beacon-bridging-the-gap/7257323838.html
"This Year Find The PERFECT Balance Between Life, Work & Play @ Beacon!",1,,1379,2021-01-05 13:17,https://charlottesville.craigslist.org/apa/d/charlottesville-this-year-find-the/7257368271.html
STUNNING Views @ Beacon on 5th| Come 👀 For Yourself!,2,,1639,2021-01-05 14:44,https://charlottesville.craigslist.org/apa/d/charlottesville-stunning-views-beacon/7257421663.html
>>Additional Savings💰 On This Address| Stop In NOW,2,,1659,2021-01-05 15:14,https://charlottesville.craigslist.org/apa/d/charlottesville-additional-savings-on/7257445865.html
Congrats 🎉 You Are Invited to Live Here| Choose Beacon!,1,,1549,2021-01-07 10:20,https://charlottesville.craigslist.org/apa/d/charlottesville-congrats-you-are/7258292149.html
Come See What All The Fuss About Here at Beacon on 5th!,2,,1659,2021-01-07 12:51,https://charlottesville.craigslist.org/apa/d/charlottesville-come-see-what-all-the/7258390016.html
I Can Totally 👀 YOU Living Here|Check Out This Address,1,,1659,2021-01-07 18:26,https://charlottesville.craigslist.org/apa/d/charlottesville-can-totally-you-living/7258595890.html
UVA:  When Minutes Matter CHOOSE Beacon on 5th! Let's Chat!,2,,1759,2021-01-08 12:02,https://charlottesville.craigslist.org/apa/d/charlottesville-uva-when-minutes-matter/7258877427.html
Always Fresh...Forever Original! First Time Renters Visit Beacon!,2,,1689,2021-01-08 13:41,https://charlottesville.craigslist.org/apa/d/charlottesville-always-freshforever/7258947108.html
UVA Students: Work and School From Home| Choose Beacon on 5th,1,,1419,2021-01-08 14:45,https://charlottesville.craigslist.org/apa/d/charlottesville-uva-students-work-and/7258996140.html
Sentara Health Care Enjoy A Less Than 7 Mile Commute to Work| Call Now,1,,1549,2021-01-08 15:09,https://charlottesville.craigslist.org/apa/d/charlottesville-sentara-health-care/7259017673.html
Less Than 2 Mile Commute To UVA| Come Home Today,1,,1439,2021-01-08 15:31,https://charlottesville.craigslist.org/apa/d/charlottesville-less-than-mile-commute/7259028109.html
Brand new 3 bedroom cottage located just 2 minutes from 5th Street Sta,3,1709.0,1245,2021-01-11 06:48,https://charlottesville.craigslist.org/apa/d/charlottesville-brand-new-bedroom/7260218983.html
"Let us show you the home of your dreams! Tour our 1 Bed, 1 bath!",1,341.0,625,2021-01-11 09:06,https://charlottesville.craigslist.org/apa/d/charlottesville-let-us-show-you-the/7260253590.html
Room in two bedroom apartment - FAST fiber internet,2,900.0,700,2021-01-11 10:54,https://charlottesville.craigslist.org/apa/d/charlottesville-room-in-two-bedroom/7260295765.html
Quality Life. It Starts Here| UVA Stop In Today,2,,1739,2021-01-11 11:52,https://charlottesville.craigslist.org/apa/d/charlottesville-quality-life-it-starts/7260338235.html
"Make Your NEXT MOVE, Your BEST MOVE| Visit Beacon on 5th",1,,1549,2021-01-11 14:31,https://charlottesville.craigslist.org/apa/d/charlottesville-make-your-next-move/7260455225.html
Beacon on 5th ... EXCEEDING Your Expectations|,1,,1439,2021-01-11 15:35,https://charlottesville.craigslist.org/apa/d/charlottesville-beacon-on-5th-exceeding/7260497757.html
Brand new 3 bedroom cottage located just 2 minutes from 5th Street Sta,3,1709.0,1245,2021-01-17 12:20,https://charlottesville.craigslist.org/apa/d/charlottesville-brand-new-bedroom/7263440438.html
Do you have small painting jobs to be done?,1,,20,2021-02-08 17:53,https://charlottesville.craigslist.org/apa/d/charlottesville-do-you-have-small/7265358517.html
UVA- Move in TODAY Walk To Work Tomorrow!,1,881.0,1529,2021-01-27 11:34,https://charlottesville.craigslist.org/apa/d/charlottesville-uva-move-in-today-walk/7268527338.html
*New Price* 1.2 Miles From UVA! Walk To Work TODAY!,1,881.0,1379,2021-01-29 11:34,https://charlottesville.craigslist.org/apa/d/charlottesville-new-price-12-miles-from/7269527658.html
