Title,Price,Date,Link
Ikea Sectional Couch,900,2021-02-14 21:48,https://charlottesville.craigslist.org/fuo/d/charlottesville-ikea-sectional-couch/7273327398.html
Victorian Couch,50,2021-02-14 18:47,https://charlottesville.craigslist.org/fuo/d/kents-store-victorian-couch/7277539012.html
Couch and Table Set,400,2021-02-14 15:36,https://harrisonburg.craigslist.org/fuo/d/harrisonburg-couch-and-table-set/7277463301.html
Couch and Oversized Chair with ottoman,125,2021-02-14 15:01,https://charlottesville.craigslist.org/fuo/d/charlottesville-couch-and-oversized/7272040788.html
Couch,80,2021-02-14 14:47,https://charlottesville.craigslist.org/fuo/d/scottsville-couch/7273173823.html
Cool Retro Couch,80,2021-02-14 14:46,https://charlottesville.craigslist.org/fuo/d/scottsville-cool-retro-couch/7273224342.html
COUCH,150,2021-02-14 08:11,https://charlottesville.craigslist.org/fuo/d/barboursville-couch/7273263434.html
Stylish White Bernhart Couch,545,2021-02-13 17:47,https://charlottesville.craigslist.org/fuo/d/stylish-white-bernhart-couch/7264419501.html
Elegant White Baker Couch with Pillows Reupholstered,495,2021-02-13 17:47,https://charlottesville.craigslist.org/fuo/d/elegant-white-baker-couch-with-pillows/7264423062.html
Ashley Couch Elegant Brown Ones,450,2021-02-13 17:38,https://charlottesville.craigslist.org/fuo/d/keswick-ashley-couch-elegant-brown-ones/7264441645.html
Couch,200,2021-02-13 08:46,https://richmond.craigslist.org/fuo/d/powhatan-couch/7270520874.html
The Nugget Comfort Couch BRAND NEW in BOX,400,2021-02-13 00:26,https://charlottesville.craigslist.org/bab/d/charlottesville-the-nugget-comfort/7276802698.html
Large Fabric Couch by Norwalk Custom - Firm cushions,250,2021-02-12 21:25,https://richmond.craigslist.org/fuo/d/powhatan-large-fabric-couch-by-norwalk/7273445486.html
couch and loveseat,550,2021-02-11 22:21,https://harrisonburg.craigslist.org/fuo/d/deerfield-couch-and-loveseat/7276286382.html
Couch/loveseat,100,2021-02-11 09:09,https://charlottesville.craigslist.org/fuo/d/charlottesville-couch-loveseat/7275887721.html
Beige Couch with Chaise,450,2021-02-11 08:25,https://charlottesville.craigslist.org/hsh/d/batesville-beige-couch-with-chaise/7261866221.html
Beige Couch with Chaise,450,2021-02-11 08:25,https://charlottesville.craigslist.org/fuo/d/batesville-beige-couch-with-chaise/7261866808.html
Beige Couch with Chaise,450,2021-02-11 08:25,https://harrisonburg.craigslist.org/hsh/d/greenwood-beige-couch-with-chaise/7261867459.html
Beige Couch with Chaise,450,2021-02-11 08:26,https://harrisonburg.craigslist.org/fuo/d/batesville-beige-couch-with-chaise/7261868047.html
Chair with couch recliner...**Fine*),1275,2021-02-10 11:58,https://charlottesville.craigslist.org/fuo/d/charlottesville-chair-with-couch/7268975601.html
Solid wood couch and chair,175,2021-02-08 19:22,https://charlottesville.craigslist.org/fuo/d/stuarts-draft-solid-wood-couch-and-chair/7274721341.html
Solid wood couch and chair,175,2021-02-08 19:23,https://harrisonburg.craigslist.org/fuo/d/stuarts-draft-solid-wood-couch-and-chair/7274721702.html
